#gemeente,provincie,inwoners,landoppervlakte,inwoners/km,gem. inkomen per inw.,hoofdplaats,grootste plaatsen
 Mill en Sint Hubert Mill en Sint Hubert, Noord Brabant,10.843,52.22,210.44,12.000,,Langenboom. Mill
 Millingen aan de Rijn Millingen aan de Rijn, Gelderland,5.883,8.67,679.93,12.100,,Millingen aan de Rijn
 Moerdijk Moerdijk, Noord Brabant,36.775,159.10,230.78,13.400,,Fijnaart/Heijningen. Klundert. Willemstad. Zevenbergen
 Molenwaard Molenwaard, Zuid Holland,29.043,118.58,245.38,12.500,,Bleskensgraaf-ca. Groot Ammers en Nieuw Lekkerland
 Montferland Montferland, Gelderland,34.985,105.63,332.30,12.500,,Didam. 's Heerenberg. Beek. Zeddam
 Montfoort Montfoort, Utrecht,13.639,37.75,356.66,13.800,,Montfoort. Linschoten
 Mook en Middelaar Mook en Middelaar, Limburg,7.783,17.38,463.18,14.800,,Molenhoek. Mook
 Muiden Muiden, Noord Holland,6.286,14.45,460.07,17.700,,Muiden. Muiderberg
 Naarden Naarden, Noord Holland,17.201,21.38,804.86,18.400,,Naarden
 Neder Betuwe Neder Betuwe, Gelderland,22.591,61.12,365.64,11.600,,Dodewaard. Kesteren. Ochten. Opheusden
 Nederlek Nederlek, Zuid Holland,14.095,27.84,519.40,14.000,,Krimpen aan de Lek. Lekkerkerk
 Nederweert Nederweert, Limburg,16.773,100.28,166.03,12.500,,Ospel
 Neerijnen Neerijnen, Gelderland,12.022,66.03,179.07,13.200,,Haaften. Waardenburg
 Nieuwegein Nieuwegein, Utrecht,61.017,23.72,2608.90,14.000,,Nieuwegein
 Nieuwkoop Nieuwkoop, Zuid Holland,27.114,91.18,901.95,14.100,,Nieuwkoop. Ter Aar
 Nijkerk Nijkerk, Gelderland,40.600,69.51,560.71,13.400,,Nijkerk. Hoevelaken. Nijkerkerveen
 Nijmegen Nijmegen, Gelderland,168.499,53.59,3007.59,12.600,,Oosterhout. Lent. Nijmegen. Dukenburg. Lindenholt
 Noord Beveland Noord Beveland, Zeeland,7.508,86.08,84.55,13.400,,Colijnsplaat. Kamperland. Kortgene. Wissenkerke
 Noordenveld Noordenveld, Drenthe,31.110,201.22,155.60,13.400,,Norg. Peize. Roden
 Noordoostpolder Noordoostpolder, Flevoland,46.372,460.05,99.57,11.800,,Emmeloord. Marknesse. Ens
 Noordwijk Noordwijk, Zuid Holland,25.689,35.41,701.24,15.000,,Noordwijk
 Noordwijkerhout Noordwijkerhout, Zuid Holland,15.982,22.60,677.26,13.800,,De Zilk. Noordwijkerhout
 Nuenen. Gerwen en Nederwetten Nuenen c.a., Noord Brabant,22.596,33.88,669.54,15.200,,Nuenen. Gerwen. Nederwetten
 Nunspeet Nunspeet, Gelderland,26.707,128.73,205.97,12.400,,Elspeet. Nunspeet
 Nuth Nuth, Limburg,15.577,33.15,479.16,13.800,,Nuth. Hulsberg. Schimmert
 Oegstgeest Oegstgeest, Zuid Holland,22.855,7.21,3054.51,16.800,,Oegstgeest
 Oirschot Oirschot, Noord Brabant,17.989,101.75,175.71,13.400,,Oirschot
 Oisterwijk Oisterwijk, Noord Brabant,25.835,63.91,402.64,14.300,,Moergestel. Oisterwijk
 Oldambt Oldambt, Groningen,38.558,234.46,168,,,Beerta. Finsterwolde. Heiligerlee. Midwolda. Nieuweschans. Scheemda. Winschoten
 Oldebroek Oldebroek, Gelderland,22.824,97.63,233.36,12.000,,Oldebroek. Wezep
 Oldenzaal Oldenzaal, Overijssel,32.152,21.59,1459.56,12.800,,Oldenzaal
 Olst Wijhe Olst Wijhe, Overijssel,17.760,114.16,151.52,12.600,Olst,Boskamp. Olst. Wesepe. Wijhe
 Ommen Ommen, Overijssel,17.370,179.99,96.32,12.900,,Emsland. Lemele. Ommen. Ommerbosch. Rotbrink
 Onderbanken Onderbanken, Limburg,7.882,21.18,391.27,12.000,,Schinveld
 Oost Gelre Oost Gelre, Gelderland,29.648,83.07,360.38,12.300,,Lichtenvoorde. Groenlo
 Oosterhout Oosterhout, Noord Brabant,53.733,71.59,746.92,13.600,,Oosterhout
 Ooststellingwerf Ooststellingwerf, Friesland,25.672,224.38,116.88,11.900,,Appelscha. Donkerbroek. Haulerwijk. Oosterwolde
 Oostzaan Oostzaan, Noord Holland,9.154,11.49,801.65,14.200,,Oostzaan
 Opmeer Opmeer, Noord Holland,11.374,41.66,269.83,13.100,,Hoogwoud. Opmeer. Spanbroek
 Opsterland Opsterland, Friesland,29.894,225.07,131.68,12.500,,Beetsterzwaag. Gorredijk. Ureterp. Wijnjewoude
 Oss Oss, Noord Brabant,85.039,152.50,555.17,13.000,,Oss
 Oud Beijerland Oud Beijerland, Zuid Holland,23.727,18.76,1279.42,13.700,,Oud Beijerland
 Oude IJsselstreek Oude IJsselstreek, Gelderland,39.614,136.47,292.68,12.100,,Gendringen. Silvolde. Terborg. Ulft. Varsseveld
 Ouder Amstel Ouder Amstel, Noord Holland,13.255,24.12,541.96,16.300,,Duivendrecht. Ouderkerk aan de Amstel
 Ouderkerk Ouderkerk, Zuid Holland,8.188,27.11,302.40,13.200,,Gouderak. Ouderkerk aan den IJssel
 Oudewater Oudewater, Utrecht,9.868,39.34,252.11,14.300,,Oudewater
 Overbetuwe Overbetuwe, Gelderland,46.653,109.59,397.91,13.000,,Elst. Heteren. Zetten
 Papendrecht Papendrecht, Zuid Holland,32.140,9.47,3322.70,13.600,,Papendrecht
 Peel en Maas Peel en Maas, Limburg,43.298,161.3,271, ,,Baarlo. Helden. Kessel. Maasbree. Panningen
 Pekela Pekela, Groningen,12.733,49.12,270.22,11.100,,Oude Pekela. Nieuwe Pekela
 Pijnacker Nootdorp Pijnacker Nootdorp, Zuid Holland,51.068,37.65,1150.07,14.300,,Delfgauw. Nootdorp. Pijnacker
 Purmerend Purmerend, Noord Holland,79.552,23.74,3283.78,13.200,,Purmerend
 Putten Putten, Gelderland,24.044,85.03,271.13,13.000,,Putten. Krachtighuizen
 Raalte Raalte, Overijssel,36.526,171.28,218.19,12.500,,Heino. Raalte
 Reimerswaal Reimerswaal, Zeeland,21.915,102.23,207.29,11.800,,Krabbendijke. Kruiningen. Rilland. Yerseke
 Renkum Renkum, Gelderland,31.577,46.02,686.98,15.300,,Oosterbeek. Renkum
 Renswoude Renswoude, Utrecht,4.928,18.43,243.79,12.300,,Renswoude
 Reusel De Mierden Reusel De Mierden, Noord Brabant,12.728,77.93,158.63,13.000,,Hooge Mierde. Lage Mierde. Reusel
 Rheden Rheden, Gelderland,43.563,81.79,535.97,13.900,,Dieren. Rheden. Velp
 Rhenen Rhenen, Utrecht,19.123,42.07,443.48,13.400,,Rhenen. Elst. Achterberg
 Ridderkerk Ridderkerk, Zuid Holland,45.207,23.75,1882.11,13.700,,Bolnes. Ridderkerk. Slikkerveer
 Rijnwaarden Rijnwaarden, Gelderland,10.926,40.42,271.35,11.700,,Herwen. Lobith. Pannerden
 Rijssen Holten Rijssen Holten, Overijssel,37.696,94.18,389.63,11.800,,Holten. Rijssen
 Rijswijk Rijswijk, Zuid Holland,47.680,14.05,3348.19,15.200,,Rijswijk
 Roerdalen Roerdalen, Limburg,20.808,88.16,240.69,12.900,,Posterholt. Herkenbosch. Melick. Sint Odili?nberg. Montfort. Vlodrop
 Roermond Roermond, Limburg,57.030,61.02,890.63,12.500,,Roermond. Swalmen. Herten. Maasniel
 Roosendaal Roosendaal, Noord Brabant,76.930,106.43,728.06,12.800,,Roosendaal. Wouw
 Rotterdam Rotterdam, Zuid Holland,618.467,206.44,2822.79,12.500,Rotterdam,Rotterdam ? Hoogvliet ? Hoek van Holland ? Pernis ? Rozenburg
 Rozendaal Rozendaal, Gelderland,1.500,27.92,54.87,19.000,,Rozendaal
 Rucphen Rucphen, Noord Brabant,22.213,64.44,347.59,13.000,,Rucphen. Sint Willebrord. Sprundel. Zegge
 Schagen Schagen, Noord Holland,46.016,168.05,278.95,13.345,,Callantsoog. Petten. Schagen. Schagerbrug. Tuitjenhorn. Waarland. Warmenhuizen. 't Zand
 Schermer Schermer, Noord Holland,5.521,61.55,84.71,14.000,,Driehuizen. Grootschermer. Oterleek. Schermerhorn. Stompetoren. Ursem
 Scherpenzeel Scherpenzeel, Gelderland,9.496,13.81,648.37,12.800,,Scherpenzeel
 Schiedam Schiedam, Zuid Holland,76.487,18.13,4138.39,12.600,,Schiedam
 Schiermonnikoog Schiermonnikoog, Friesland,1938,40.54,23.11,14.200,,Schiermonnikoog
 Schijndel Schijndel, Noord Brabant,23.360,41.54,549.88,13.000,,Schijndel
 Schinnen Schinnen, Limburg,12.961,24.08,557.23,13.200,,Amstenrade. Doenrade. Oirsbeek. Puth. Schinnen
 Schoonhoven Schoonhoven, Zuid Holland,11.896,6.34,1919.72,13.400,,Schoonhoven
 Schouwen Duiveland Schouwen Duiveland, Zeeland,33.821,231.07,147.58,13.500,,Bruinisse. Burgh Haamstede. Nieuwerkerk. Zierikzee
 Simpelveld Simpelveld, Limburg,10.844,16.03,707.11,12.600,,Bocholtz. Simpelveld
 Sint Anthonis Sint Anthonis, Noord Brabant,11.696,99.32,118.52,13.000,,Oploo. Sint Anthonis. Wanroij
 Sint Michielsgestel Sint Michielsgestel, Noord Brabant,28.186,58.97,473.39,13.800,,Berlicum. Den Dungen. Middelrode. Sint Michielsgestel
 Sint Oedenrode Sint Oedenrode, Noord Brabant,17.944,64.49,267.06,13.200,,Sint Oedenrode
 Sittard Geleen Sittard Geleen, Limburg,93.806,79.09,1214.11,12.800,,Born. Geleen. Guttecoven. Munstergeleen. Sittard
 Sliedrecht Sliedrecht, Zuid Holland,24.528,12.78,1856.26,12.700,,Sliedrecht
 Slochteren Slochteren, Groningen,15.535,152.28,101.16,12.500,,Siddeburen. Slochteren. Harkstede
 Sluis Sluis, Zeeland,23.795,280.27,86.95,13.200,,Aardenburg. Breskens. Oostburg. Sluis
 Smallingerland Smallingerland, Friesland,55.496,118.48,464.31,12.200,,Boornbergum. Drachten. Opeinde. Oudega
 Soest Soest, Utrecht,45.430,46.26,981.26,14.800,,Soest. Soesterberg
 Someren Someren, Noord Brabant,18.700,80.06,226.42,12.500,,Lierop. Someren. Someren Eind
 Son en Breugel Son en Breugel, Noord Brabant,16.241,25.93,593.79,14.900,,Breugel. Son
 Spijkenisse Spijkenisse, Zuid Holland,72.562,26.16,2818.96,13.100,,Spijkenisse
 Stadskanaal Stadskanaal, Groningen,32.793,117.85,288.90,11.500,,Stadskanaal. Musselkanaal. Onstwedde
 Staphorst Staphorst, Overijssel,16.365,134.29,119.06,11.400,,IJhorst. Rouveen. Staphorst
 Stede Broec Stede Broec, Noord Holland,21.474,14.77,1447.39,12.600,,Bovenkarspel. Grootebroek. Lutjebroek
 Steenbergen Steenbergen, Noord Brabant,23.409,146.61,158.58,13.300,,Dinteloord. Kruisland. Nieuw Vossemeer. Steenbergen
 Steenwijkerland Steenwijkerland, Overijssel,43.372,291.12,148.33,12.100,,Steenwijk
 Stein Stein, Limburg,25.348,21.21,1237.53,13.000,,Berg aan de Maas. Elsloo. Stein. Urmond
 Stichtse Vecht Stichtse Vecht, Utrecht,63.823,106.83,587.77,14.790,,Breukelen. Loenen. Maarssen
 Strijen Strijen, Zuid Holland,8.678,51.23,178.10,13.800,,Strijen
 S?dwest Frysl?n S?dwest Frysl?n, Friesland,84.258,433.09,189.99,,,Sneek. Bolsward
 Ten Boer Ten Boer, Groningen,7.465,45.25,160.27,12.100,Ten Boer,Ten Boer
 Terneuzen Terneuzen, Zeeland,54.711,251.44,219.78,13.100,,Axel. Hoek. Sas van Gent. Terneuzen
 Terschelling Terschelling, Friesland,4.769,88.10,53.35,13.400,,West Terschelling
 Texel Texel, Noord Holland,13.566,161.96,84.14,12.400,,De Koog. Den Burg. Oosterend. Oudeschild
 Teylingen Teylingen, Zuid Holland,35.723,28.65,1227.82,14.800,,Sassenheim. Voorhout. Warmond
 Tholen Tholen, Zeeland,25.398,147.81,170.64,11.900,,Sint Annaland. Sint Maartensdijk. Sint Philipsland. Tholen
 Tiel Tiel, Gelderland,41.729,32.31,1277.41,12.300,,Tiel
 Tietjerksteradeel Tietjerksteradeel, Friesland,31.980,149.67,215.59,12.500,,Burgum. Giekerk. Hardegarijp. Noordbergum
 Tilburg Tilburg, Noord Brabant,210.382,116.69,1730.53,12.500,,Berkel Enschot. Udenhout
 Tubbergen Tubbergen, Overijssel,21.216,146.98,140.84,12.000,,Albergen. Geesteren. Harbrinkhoek. Langeveen. Reutum. Tubbergen
 Twenterand Twenterand, Overijssel,33.939,106.31,314.64,11.400,,Den Ham. Vriezenveen. Vroomshoop. Westerhaar Vriezenveensewijk
 Tynaarlo Tynaarlo, Drenthe,32.506,143.73,221.13,14.000,,Eelde. Paterswolde. Zuidlaren
 Ubbergen Ubbergen, Gelderland,9.432,34.02,273.84,14.000,,Beek. Berg en Dal. Leuth. Ooij. Ubbergen
 Uden Uden, Noord Brabant,40.934,67.13,598.12,13.100,,Uden. Volkel. Odiliapeel
 Uitgeest Uitgeest, Noord Holland,13.242,19.18,633.11,13.900,,Uitgeest
 Uithoorn Uithoorn, Noord Holland,28.407,18.30,1490.87,14.700,,De Kwakel. Uithoorn
 Urk Urk, Flevoland,19.487,11.54,1532.84,9.400,,Urk
 Utrecht (gemeente) Utrecht, Utrecht,328.577,95.67,3135.78,13.600,,Utrecht. Oost. Leidsche Rijn. West. Overvecht. Zuid. Noordoost. Zuidwest. Noordwest. Vleuten De Meern
 Utrechtse Heuvelrug Utrechtse Heuvelrug, Utrecht,47.939,132.38,369.25,15.900,,Driebergen Rijsenburg. Doorn. Leersum. Amerongen. Maarn
 Vaals Vaals, Limburg,9.682,23.89,411.22,11.700,,Lemiers. Vaals. Vijlen
 Valkenburg aan de Geul Valkenburg a/d Geul, Limburg,16.668,36.73,466.49,13.300,Valkenburg,Valkenburg. Berg. Broekhem. Houthem. Schin op Geul. Sibbe. Valkenburg
 Valkenswaard Valkenswaard, Noord Brabant,30.353,55.01,561.59,13.500,,Dommelen. Valkenswaard
 Veendam Veendam, Groningen,27.795,76.24,368.39,12.000,,Veendam. Wildervank
 Veenendaal Veenendaal, Utrecht,63.207,19.61,3151.56,12.500,,Veenendaal
 Veere Veere, Zeeland,21.882,132.94,165.77,13.000,,Koudekerke. Oostkapelle. Serooskerke. Westkapelle
 Veghel Veghel, Noord Brabant,37.550,78.18,470.30,13.200,,Erp. Veghel. Zijtaart
 Veldhoven Veldhoven, Noord Brabant,44.136,31.72,1361.38,13.600,,Meerveldhoven. Oerle. Veldhoven Dorp. Zeelst
 Velsen Velsen, Noord Holland,67.231,44.42,1519.95,13.800,,IJmuiden. Driehuis. Santpoort. Velsen Zuid. Velsen Noord. Velserbroek
 Venlo Venlo, Limburg,100.381,124.34,803,12.300,,Arcen. Belfeld. Blerick. Tegelen. Velden. Venlo
 Venray Venray, Limburg,43.120,145.70,268.61,12.700,,Blitterswijck. Leunen. Oostrum. Venray. Wanssum. Ysselsteyn
 Vianen Vianen, Utrecht,19.573,39.47,499.14,13.900,,Vianen
 Vlaardingen Vlaardingen, Zuid Holland,71.059,23.76,2993.22,13.200,,Vlaardingen
 twedde twedde, Groningen,15.899,167.74,98.27,11.300,,Ter Apel. twedde. Sellingen
 Vlieland Vlieland, Friesland,1.097,40.01,28.54,13.300,,Oost Vlieland
 Vlissingen Vlissingen, Zeeland,44.450,34.14,1313.01,12.600,,Oost Souburg. Vlissingen. West Souburg
 Vlist Vlist, Zuid Holland,9.706,53.79,182.38,13.700,,Stolwijk. Haastrecht
 Voerendaal Voerendaal, Limburg,12.447,31.54,407.77,13.900,,Klimmen. Kunrade. Ransdaal. Ubachsberg. Voerendaal
 Voorschoten Voorschoten, Zuid Holland,24.941,11.21,2030.51,16.100,,Voorschoten
 Voorst Voorst, Gelderland,23.801,123.11,191.67,13.200,,Twello
 Vught Vught, Noord Brabant,25.626,33.50,753.94,15.100,,Vught
 Waalre Waalre, Noord Brabant,16.804,22.44,495.76,16.100,,Aalst. Waalre dorp
 Waalwijk Waalwijk, Noord Brabant,46.515,64.69,705.02,13.200,,'s Grevelduin Capelle. Sprang Capelle. Waalwijk. Waspik
 Waddinxveen Waddinxveen, Zuid Holland,25.520,27.87,924.90,14.000,,Waddinxveen
 Wageningen Wageningen, Gelderland,37.511,30.53,1162.86,12.100,,Wageningen
 Wassenaar Wassenaar, Zuid Holland,25.786,50.85,504.78,20.400,,Wassenaar
 Waterland Waterland, Noord Holland,17.154,52.10,329.04,15.400,,Broek in Waterland. Ilpendam. Marken. Monnickendam
 Weert Weert, Limburg,48.727,104.66,462.39,13.000,,Stramproy. Weert
 Weesp Weesp, Noord Holland,18.231,20.58,851.94,14.600,,Weesp
 Werkendam Werkendam, Noord Brabant,26.400,105.00,252.07,13.200,,Dussen. Hank. Nieuwendijk. Sleeuwijk. Werkendam
 West Maas en Waal West Maas en Waal, Gelderland,18.391,77.45,235.91,13.100,,Beneden Leeuwen. Boven Leeuwen. Dreumel. Wamel
 Westerveld Westerveld, Drenthe,18.902,278.99,69.29,13.600,,Diever. Dwingeloo. Havelte
 Westervoort Westervoort, Gelderland,15.147,7.11,2180.59,12.300,,Westervoort
 Westland Westland, Zuid Holland,103.335,79.90,1239.89,13.600,,De Lier. 's Gravenzande. Monster. Naaldwijk. Wateringen
 Weststellingwerf Weststellingwerf, Friesland,25.487,222.15,114.54,12.000,,Noordwolde. Oldeholtpade. Steggerda. Wolvega
 Westvoorne Westvoorne, Zuid Holland,13.977,53.46,263.37,16.300,,Oostvoorne. Rockanje
 Wierden Wierden, Overijssel,23.906,94.68,246.10,12.600,,Enter
 Wijchen Wijchen, Gelderland,41.010,66.83,591.99,12.900,,Alverna. Wijchen. Woezik
 Wijdemeren Wijdemeren, Noord Holland,23.170,48.02,489.69,15.500,,Kortenhoef. Nieuw Loosdrecht. Nederhorst den Berg
 Wijk bij Duurstede Wijk bij Duurstede, Utrecht,23.031,47.62,490.19,13.700,,Wijk bij Duurstede. Cothen
 Winsum Winsum, Groningen,13.843,101.09,138.18,12.300,,Winsum. Baflo. Sauwerd
 Winterswijk Winterswijk, Gelderland,28.873,138.25,212.01,11.900,,Meddo. Winterswijk
 Woensdrecht Woensdrecht, Noord Brabant,21.654,91.85,235.19,13.000,,Hoogerheide. Ossendrecht. Putte
 Woerden Woerden, Utrecht,50.607,89.53,538.17,14.200,,Woerden. Harmelen
 Wormerland Wormerland, Noord Holland,15.751,38.80,408.51,13.600,,Wormer
 Woudenberg Woudenberg, Utrecht,12.386,36.47,314.81,13.100,,Woudenberg
 Woudrichem Woudrichem, Noord Brabant,14.407,49.57,289.65,13.000,,Almkerk. Andel. Woudrichem
 Zaanstad Zaanstad, Noord Holland,150.911,74.25,1927.25,13.100,,Assendelft. Krommenie. Wormerveer. Zaandam. Zaandijk
 Zaltbommel Zaltbommel, Gelderland,13.661,79.94,327.70,12.800,,Aalst. Brakel. Bruchem. Gameren. Nederhemert. Zaltbommel. Zuilichem
 Zandvoort Zandvoort, Noord Holland,16.588,32.04,517.32,15.200,,Zandvoort
 Zederik Zederik, Zuid Holland,13.661,73.77,182.38,12.800,,Ameide. Lexmond. Meerkerk
 Zeevang Zeevang, Noord Holland,6.368,38.19,165.36,14.200,,Oosthuizen
 Zeewolde Zeewolde, Flevoland,21.543,248.76,79.42,12.800,,Zeewolde
 Zeist Zeist, Utrecht,61.337,48.53,1241.97,15.700,,Zeist. Den Dolder
 Zevenaar Zevenaar, Gelderland,32.254,53.79,592.06,13.100,,Angerlo. Zevenaar
 Zoetermeer Zoetermeer, Zuid Holland,123.614,34.91,3444.77,13.900,,Zoetermeer
 Zoeterwoude Zoeterwoude, Zuid Holland,8.089,21.24,392.09,13.900,,Zoeterwoude Dorp. Zoeterwoude Rijndijk
 Zuidhorn Zuidhorn, Groningen,18.767,125.62,146.45,12.500,,Zuidhorn. Grijpskerk. Aduard
 Zuidplas Zuidplas, Zuid Holland,40.878,59.36,680,,,Moerkapelle. Moordrecht. Nieuwerkerk aan den IJssel. Zevenhuizen
 Zundert Zundert, Noord Brabant,21.374,120.38,172.78,13.000,,Rijsbergen. Zundert
 Zutphen Zutphen, Gelderland,47.154,41.00,1137.63,12.600,,Zutphen. Warnsveld
 Zwartewaterland Zwartewaterland, Overijssel,22.148,82.76,264.97,11.700,,Genemuiden. Hasselt. Zwartsluis
 Zwijndrecht Zwijndrecht, Zuid Holland,44.546,20.36,2182.91,13.700,,Zwijndrecht. Heerjansdam
 Zwolle Zwolle, Overijssel,123.211,112.11,1044.59,13.100,Zwolle,Zwolle. Aa landen.Assendorp. Diezerpoort. Holtenbroek. Stadshagen. Zwolle Zuid
